Date : 2020-06-24 10:18:46
Directory : c:\Users\fjvem\Desktop\graph-width-visualizer
Total : 603 files,  108264 codes, 6506 comments, 13575 blanks, all 128345 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\comment\continuecomment.js           | JavaScript   |         97 |         11 |          7 |        115 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\dialog\dialog.css                    | CSS          |         28 |          0 |          5 |         33 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\dialog\dialog.js                     | JavaScript   |        131 |         11 |         22 |        164 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\display\autorefresh.js               | JavaScript   |         41 |          2 |          5 |         48 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\display\fullscreen.css               | CSS          |          6 |          0 |          1 |          7 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\display\fullscreen.js                | JavaScript   |         35 |          2 |          5 |         42 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\display\panel.js                     | JavaScript   |        109 |          4 |         17 |        130 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\display\placeholder.js               | JavaScript   |         55 |          2 |          7 |         64 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\display\rulers.js                    | JavaScript   |         46 |          2 |          4 |         52 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\edit\closebrackets.js                | JavaScript   |        185 |          2 |          5 |        192 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\edit\closetag.js                     | JavaScript   |        133 |         37 |         15 |        185 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\edit\continuelist.js                 | JavaScript   |         82 |          7 |         13 |        102 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\edit\matchbrackets.js                | JavaScript   |        125 |         17 |         17 |        159 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\edit\matchtags.js                    | JavaScript   |         58 |          2 |          7 |         67 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\edit\trailingspace.js                | JavaScript   |         24 |          2 |          2 |         28 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\brace-fold.js                   | JavaScript   |         92 |          3 |         11 |        106 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\comment-fold.js                 | JavaScript   |         52 |          2 |          6 |         60 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\foldcode.js                     | JavaScript   |        135 |          4 |         19 |        158 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\foldgutter.css                  | CSS          |         20 |          0 |          1 |         21 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\foldgutter.js                   | JavaScript   |        145 |          4 |         15 |        164 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\indent-fold.js                  | JavaScript   |         35 |          8 |          6 |         49 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\markdown-fold.js                | JavaScript   |         39 |          2 |          9 |         50 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\xml-fold.js                     | JavaScript   |        168 |          3 |         14 |        185 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\anyword-hint.js                 | JavaScript   |         35 |          2 |          5 |         42 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\css-hint.js                     | JavaScript   |         55 |          2 |         10 |         67 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\html-hint.js                    | JavaScript   |        151 |        197 |          3 |        351 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\javascript-hint.js              | JavaScript   |        137 |         12 |         14 |        163 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\show-hint.css                   | CSS          |         30 |          0 |          7 |         37 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\show-hint.js                    | JavaScript   |        408 |         11 |         59 |        478 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\sql-hint.js                     | JavaScript   |        296 |          2 |          7 |        305 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\xml-hint.js                     | JavaScript   |        113 |          3 |          8 |        124 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\coffeescript-lint.js            | JavaScript   |         38 |          4 |          6 |         48 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\css-lint.js                     | JavaScript   |         31 |          4 |          6 |         41 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\html-lint.js                    | JavaScript   |         50 |          4 |          6 |         60 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\javascript-lint.js              | JavaScript   |         52 |          4 |          8 |         64 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\json-lint.js                    | JavaScript   |         29 |          6 |          6 |         41 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\lint.css                        | CSS          |         63 |          1 |         10 |         74 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\lint.js                         | JavaScript   |        218 |          6 |         32 |        256 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\yaml-lint.js                    | JavaScript   |         27 |          9 |          6 |         42 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\merge\merge.css                      | CSS          |        104 |          0 |         16 |        120 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\merge\merge.js                       | JavaScript   |        883 |         26 |         98 |      1,007 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\mode\loadmode.js                     | JavaScript   |         59 |          2 |          6 |         67 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\mode\multiplex.js                    | JavaScript   |        111 |          4 |         17 |        132 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\mode\multiplex_test.js               | JavaScript   |         25 |          2 |          7 |         34 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\mode\overlay.js                      | JavaScript   |         67 |         12 |         12 |         91 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\mode\simple.js                       | JavaScript   |        197 |          2 |         18 |        217 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\runmode\colorize.js                  | JavaScript   |         31 |          2 |          8 |         41 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\runmode\runmode-standalone.js        | JavaScript   |        273 |         28 |         33 |        334 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\runmode\runmode.js                   | JavaScript   |         64 |          7 |          6 |         77 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\runmode\runmode.node.js              | JavaScript   |        272 |         27 |         31 |        330 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\scroll\annotatescrollbar.js          | JavaScript   |        106 |          2 |         15 |        123 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\scroll\scrollpastend.js              | JavaScript   |         42 |          2 |          5 |         49 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\scroll\simplescrollbars.css          | CSS          |         57 |          0 |         10 |         67 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\scroll\simplescrollbars.js           | JavaScript   |        130 |          2 |         21 |        153 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\search\jump-to-line.js               | JavaScript   |         39 |          3 |          9 |         51 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\search\match-highlighter.js          | JavaScript   |        134 |         19 |         15 |        168 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\search\matchesonscrollbar.css        | CSS          |          8 |          0 |          1 |          9 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\search\matchesonscrollbar.js         | JavaScript   |         83 |          2 |         13 |         98 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\search\search.js                     | JavaScript   |        228 |          9 |         24 |        261 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\search\searchcursor.js               | JavaScript   |        255 |         13 |         29 |        297 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\selection\active-line.js             | JavaScript   |         64 |          2 |          7 |         73 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\selection\mark-selection.js          | JavaScript   |         97 |          7 |         16 |        120 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\selection\selection-pointer.js       | JavaScript   |         89 |          2 |          8 |         99 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\tern\tern.css                        | CSS          |         81 |          0 |          7 |         88 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\tern\tern.js                         | JavaScript   |        578 |         55 |         87 |        720 |
