Date : 2020-06-24 10:18:46
Directory : c:\Users\fjvem\Desktop\graph-width-visualizer
Total : 603 files,  108264 codes, 6506 comments, 13575 blanks, all 128345 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\tern\worker.js                       | JavaScript   |         34 |          3 |          8 |         45 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\wrap\hardwrap.js                     | JavaScript   |        132 |          3 |         11 |        146 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\bin\authors.sh                             | Shell Script |          5 |          1 |          1 |          7 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\bin\upload-release.js                      | JavaScript   |         31 |          0 |          5 |         36 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\activeline.html                       | HTML         |         79 |          0 |         10 |         89 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\anywordhint.html                      | HTML         |         70 |          0 |         10 |         80 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\bidi.html                             | HTML         |         94 |          1 |         12 |        107 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\btree.html                            | HTML         |         73 |          0 |         11 |         84 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\buffers.html                          | HTML         |         93 |          0 |         17 |        110 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\changemode.html                       | HTML         |         51 |          0 |          8 |         59 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\closebrackets.html                    | HTML         |         47 |          0 |          6 |         53 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\closetag.html                         | HTML         |         36 |          0 |          6 |         42 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\complete.html                         | HTML         |        113 |          0 |         14 |        127 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\emacs.html                            | HTML         |         68 |          0 |          9 |         77 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\folding.html                          | HTML         |        166 |          0 |         19 |        185 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\fullscreen.html                       | HTML         |         74 |          0 |         10 |         84 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\hardwrap.html                         | HTML         |         66 |          0 |         10 |         76 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\html5complete.html                    | HTML         |         48 |          0 |          9 |         57 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\indentwrap.html                       | HTML         |         50 |          0 |         10 |         60 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\lint.html                             | HTML         |        146 |          0 |         26 |        172 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\loadmode.html                         | HTML         |         67 |          0 |          6 |         73 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\marker.html                           | HTML         |         44 |          0 |          9 |         53 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\markselection.html                    | HTML         |         44 |          0 |          9 |         53 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\matchhighlighter.html                 | HTML         |         90 |          0 |         14 |        104 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\matchtags.html                        | HTML         |         40 |          0 |          9 |         49 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\merge.html                            | HTML         |        109 |          0 |         15 |        124 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\multiplex.html                        | HTML         |         67 |          0 |          9 |         76 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\mustache.html                         | HTML         |         62 |          0 |          8 |         70 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\panel.html                            | HTML         |        119 |          0 |         19 |        138 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\placeholder.html                      | HTML         |         38 |          0 |          8 |         46 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\preview.html                          | HTML         |         79 |          0 |          9 |         88 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\requirejs.html                        | HTML         |         61 |          0 |         10 |         71 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\resize.html                           | HTML         |         44 |          0 |          8 |         52 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\rulers.html                           | HTML         |         42 |          0 |          8 |         50 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\runmode-standalone.html               | HTML         |         51 |          0 |         11 |         62 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\runmode.html                          | HTML         |         52 |          0 |         11 |         63 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\search.html                           | HTML         |         90 |          0 |         10 |        100 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\simplemode.html                       | HTML         |        168 |          0 |         19 |        187 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\simplescrollbars.html                 | HTML         |         70 |          0 |         13 |         83 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\spanaffectswrapping_shim.html         | HTML         |         74 |          0 |         12 |         86 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\sublime.html                          | HTML         |         68 |          0 |         10 |         78 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\tern.html                             | HTML         |        112 |          0 |         22 |        134 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\theme.html                            | HTML         |        190 |          0 |          7 |        197 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\trailingspace.html                    | HTML         |         41 |          0 |          8 |         49 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\variableheight.html                   | HTML         |         56 |          0 |         12 |         68 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\vim.html                              | HTML         |        100 |          0 |         14 |        114 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\visibletabs.html                      | HTML         |         55 |          0 |          8 |         63 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\widget.html                           | HTML         |         73 |          0 |         13 |         86 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\demo\xmlcomplete.html                      | HTML         |        107 |          0 |         13 |        120 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\doc\activebookmark.js                      | JavaScript   |         52 |          1 |          5 |         58 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\doc\docs.css                               | CSS          |        231 |          0 |         44 |        275 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\doc\internals.html                         | HTML         |        439 |          0 |         66 |        505 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\doc\logo.svg                               | XML          |         19 |          0 |          1 |         20 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\doc\manual.html                            | HTML         |      3,292 |          0 |        408 |      3,700 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\doc\realworld.html                         | HTML         |        192 |          0 |         10 |        202 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\doc\releases.html                          | HTML         |      1,614 |          0 |        298 |      1,912 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\doc\reporting.html                         | HTML         |         46 |          0 |         15 |         61 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\doc\upgrade_v2.2.html                      | HTML         |         74 |          0 |         23 |         97 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\doc\upgrade_v3.html                        | HTML         |        198 |          0 |         33 |        231 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\doc\upgrade_v4.html                        | HTML         |        109 |          0 |         36 |        145 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\index.html                                 | HTML         |        190 |          1 |         23 |        214 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\keymap\emacs.js                            | JavaScript   |        352 |          8 |         60 |        420 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\keymap\sublime.js                          | JavaScript   |        652 |          7 |         56 |        715 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\keymap\vim.js                              | JavaScript   |      5,184 |        297 |         65 |      5,546 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\lib\codemirror.css                         | CSS          |        284 |         23 |         43 |        350 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\lib\codemirror.js                          | JavaScript   |      8,080 |        884 |        815 |      9,779 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\apl\apl.js                            | JavaScript   |        166 |          2 |          7 |        175 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\apl\index.html                        | HTML         |         59 |          0 |         14 |         73 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\asciiarmor\asciiarmor.js              | JavaScript   |         68 |          2 |          5 |         75 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\asciiarmor\index.html                 | HTML         |         38 |          0 |          9 |         47 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\asn.1\asn.1.js                        | JavaScript   |        186 |          4 |         15 |        205 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\asn.1\index.html                      | HTML         |         69 |          0 |         10 |         79 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\asterisk\asterisk.js                  | JavaScript   |        185 |         25 |         11 |        221 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\asterisk\index.html                   | HTML         |        130 |          0 |         26 |        156 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\brainfuck\brainfuck.js                | JavaScript   |         67 |         16 |          3 |         86 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\brainfuck\index.html                  | HTML         |         75 |          0 |         11 |         86 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\clike\clike.js                        | JavaScript   |        713 |        176 |         47 |        936 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\clike\index.html                      | HTML         |        319 |          0 |         62 |        381 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\clike\scala.html                      | HTML         |        698 |          0 |         70 |        768 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\clike\test.js                         | JavaScript   |        143 |          2 |         21 |        166 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\clojure\clojure.js                    | JavaScript   |        256 |          6 |         31 |        293 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\clojure\index.html                    | HTML         |         80 |          0 |         16 |         96 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\clojure\test.js                       | JavaScript   |        350 |          7 |         28 |        385 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\cmake\cmake.js                        | JavaScript   |         80 |         10 |          8 |         98 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\cmake\index.html                      | HTML         |        116 |          0 |         14 |        130 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\cobol\cobol.js                        | JavaScript   |        240 |         10 |          6 |        256 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\cobol\index.html                      | HTML         |        205 |          0 |          6 |        211 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\coffeescript\coffeescript.js          | JavaScript   |        350 |          6 |          4 |        360 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\coffeescript\index.html               | HTML         |        552 |          0 |        189 |        741 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\commonlisp\commonlisp.js              | JavaScript   |        111 |          2 |         12 |        125 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\commonlisp\index.html                 | HTML         |        158 |          0 |         20 |        178 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\crystal\crystal.js                    | JavaScript   |        347 |         20 |         67 |        434 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\crystal\index.html                    | HTML         |         93 |          0 |         24 |        117 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\css\css.js                            | JavaScript   |        794 |          8 |         59 |        861 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\css\gss.html                          | HTML         |         82 |          0 |         23 |        105 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\css\gss_test.js                       | JavaScript   |         11 |          2 |          5 |         18 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\css\index.html                        | HTML         |         61 |          0 |         15 |         76 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\css\less.html                         | HTML         |        131 |          0 |         22 |        153 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\css\less_test.js                      | JavaScript   |         44 |          2 |          9 |         55 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\css\scss.html                         | HTML         |        131 |          0 |         28 |        159 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\css\scss_test.js                      | JavaScript   |         78 |          2 |         31 |        111 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\css\test.js                           | JavaScript   |        164 |          6 |         48 |        218 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\cypher\cypher.js                      | JavaScript   |        140 |          4 |          8 |        152 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\cypher\index.html                     | HTML         |         59 |          0 |          6 |         65 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\cypher\test.js                        | JavaScript   |         24 |          2 |         12 |         38 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\d\d.js                                | JavaScript   |        218 |          2 |          4 |        224 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\d\index.html                          | HTML         |        235 |          0 |         39 |        274 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\d\test.js                             | JavaScript   |          6 |          2 |          4 |         12 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\dart\dart.js                          | JavaScript   |        142 |          8 |         17 |        167 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\dart\index.html                       | HTML         |         60 |          0 |         12 |         72 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\diff\diff.js                          | JavaScript   |         35 |          2 |         11 |         48 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\diff\index.html                       | HTML         |        108 |          0 |         10 |        118 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\django\django.js                      | JavaScript   |        266 |         45 |         46 |        357 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\django\index.html                     | HTML         |         66 |          0 |          8 |         74 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\dockerfile\dockerfile.js              | JavaScript   |        196 |          9 |          7 |        212 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\dockerfile\index.html                 | HTML         |         64 |          0 |         10 |         74 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\dockerfile\test.js                    | JavaScript   |         27 |         97 |          5 |        129 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\dtd\dtd.js                            | JavaScript   |        116 |          9 |         18 |        143 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\dtd\index.html                        | HTML         |         75 |          3 |         12 |         90 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\dylan\dylan.js                        | JavaScript   |        276 |         44 |         33 |        353 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\dylan\index.html                      | HTML         |        352 |          0 |         56 |        408 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\dylan\test.js                         | JavaScript   |         76 |          3 |         10 |         89 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\ebnf\ebnf.js                          | JavaScript   |        171 |          9 |         16 |        196 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\ebnf\index.html                       | HTML         |         90 |          0 |         13 |        103 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\ecl\ecl.js                            | JavaScript   |        184 |          3 |         20 |        207 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\ecl\index.html                        | HTML         |         44 |          0 |          9 |         53 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\eiffel\eiffel.js                      | JavaScript   |        105 |         52 |          4 |        161 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\eiffel\index.html                     | HTML         |        376 |          0 |         54 |        430 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\elm\elm.js                            | JavaScript   |        215 |          2 |         27 |        244 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\elm\index.html                        | HTML         |         51 |          0 |         11 |         62 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\erlang\erlang.js                      | JavaScript   |        471 |         63 |         86 |        620 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\erlang\index.html                     | HTML         |         64 |          0 |         13 |         77 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\factor\factor.js                      | JavaScript   |         58 |         23 |          5 |         86 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\factor\index.html                     | HTML         |         62 |          0 |         16 |         78 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\fcl\fcl.js                            | JavaScript   |        143 |          3 |         28 |        174 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\fcl\index.html                        | HTML         |         92 |          0 |         17 |        109 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\forth\forth.js                        | JavaScript   |        155 |         12 |         14 |        181 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\forth\index.html                      | HTML         |         62 |          0 |         14 |         76 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\fortran\fortran.js                    | JavaScript   |        171 |          3 |         15 |        189 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\fortran\index.html                    | HTML         |         61 |          0 |         21 |         82 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\gas\gas.js                            | JavaScript   |        288 |         17 |         41 |        346 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\gas\index.html                        | HTML         |         57 |          0 |         12 |         69 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\gfm\gfm.js                            | JavaScript   |        126 |          2 |          2 |        130 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\gfm\index.html                        | HTML         |        108 |          0 |         29 |        137 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\gfm\test.js                           | JavaScript   |        194 |          2 |          3 |        199 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\gherkin\gherkin.js                    | JavaScript   |        124 |         30 |         25 |        179 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\gherkin\index.html                    | HTML         |         42 |          0 |          7 |         49 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\go\go.js                              | JavaScript   |        179 |          2 |          7 |        188 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\go\index.html                         | HTML         |         73 |          0 |         13 |         86 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\groovy\groovy.js                      | JavaScript   |        212 |          5 |         17 |        234 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\groovy\index.html                     | HTML         |         73 |          0 |         12 |         85 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\haml\haml.js                          | JavaScript   |        133 |         13 |         16 |        162 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\haml\index.html                       | HTML         |         68 |          1 |         11 |         80 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\haml\test.js                          | JavaScript   |         70 |          4 |         24 |         98 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\handlebars\handlebars.js              | JavaScript   |         52 |          8 |         11 |         71 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\handlebars\index.html                 | HTML         |         65 |          0 |         18 |         83 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\haskell-literate\haskell-literate.js  | JavaScript   |         37 |          2 |          5 |         44 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\haskell-literate\index.html           | HTML         |        231 |          0 |         52 |        283 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\haskell\haskell.js                    | JavaScript   |        262 |          3 |          4 |        269 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\haskell\index.html                    | HTML         |         62 |          0 |         12 |         74 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\haxe\haxe.js                          | JavaScript   |        450 |         13 |         53 |        516 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\haxe\index.html                       | HTML         |        110 |          0 |         15 |        125 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\htmlembedded\htmlembedded.js          | JavaScript   |         32 |          2 |          4 |         38 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\htmlembedded\index.html               | HTML         |         53 |          0 |          8 |         61 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\htmlmixed\htmlmixed.js                | JavaScript   |        133 |          2 |         18 |        153 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\htmlmixed\index.html                  | HTML         |         90 |          1 |         10 |        101 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\http\http.js                          | JavaScript   |         96 |          2 |         16 |        114 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\http\index.html                       | HTML         |         36 |          0 |         10 |         46 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\idl\idl.js                            | JavaScript   |        266 |          8 |         17 |        291 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\idl\index.html                        | HTML         |         52 |          0 |         14 |         66 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\index.html                            | HTML         |        157 |          0 |          9 |        166 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\javascript\index.html                 | HTML         |        103 |          0 |         12 |        115 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\javascript\javascript.js              | JavaScript   |        912 |         12 |         11 |        935 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\javascript\json-ld.html               | HTML         |         64 |          0 |          9 |         73 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\javascript\test.js                    | JavaScript   |        430 |          3 |         89 |        522 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\javascript\typescript.html            | HTML         |         50 |          0 |         13 |         63 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\jinja2\index.html                     | HTML         |         50 |          0 |          5 |         55 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\jinja2\jinja2.js                      | JavaScript   |        129 |          8 |         10 |        147 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\jsx\index.html                        | HTML         |         72 |          0 |         18 |         90 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\jsx\jsx.js                            | JavaScript   |         65 |         73 |         11 |        149 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\jsx\test.js                           | JavaScript   |         65 |          4 |         23 |         92 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\julia\index.html                      | HTML         |        174 |          0 |         23 |        197 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\julia\julia.js                        | JavaScript   |        412 |          2 |         12 |        426 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\livescript\index.html                 | HTML         |        352 |          0 |        108 |        460 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\livescript\livescript.js              | JavaScript   |        268 |          6 |          7 |        281 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\lua\index.html                        | HTML         |         71 |          0 |         15 |         86 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\lua\lua.js                            | JavaScript   |        128 |          6 |         26 |        160 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\markdown\index.html                   | HTML         |        295 |          0 |        124 |        419 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\markdown\markdown.js                  | JavaScript   |        730 |         46 |        111 |        887 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\markdown\test.js                      | JavaScript   |      1,008 |        117 |        195 |      1,320 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\mathematica\index.html                | HTML         |         64 |          0 |          9 |         73 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\mathematica\mathematica.js            | JavaScript   |        141 |         22 |         14 |        177 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\mbox\index.html                       | HTML         |         36 |          0 |          9 |         45 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\mbox\mbox.js                          | JavaScript   |        102 |         11 |         17 |        130 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\meta.js                               | JavaScript   |        211 |          3 |          7 |        221 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\mirc\index.html                       | HTML         |        154 |          0 |          8 |        162 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\mirc\mirc.js                          | JavaScript   |        186 |          3 |          5 |        194 |
| c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\mode\mllike\index.html                     | HTML         |        164 |          0 |         35 |        199 |
