"filename", "language", "JSON", "JavaScript", "Markdown", "Shell Script", "CSS", "HTML", "Properties", "Ignore", "YAML", "XML", "comment", "blank", "total"
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\input\keymap.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 149
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\input\keynames.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\input\movement.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 112
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\line\highlight.js", "JavaScript", 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 25, 25, 285
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\line\line_data.js", "JavaScript", 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 42, 27, 350
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\line\pos.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 41
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\line\saw_special_spans.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\line\spans.js", "JavaScript", 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 53, 28, 383
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\line\utils_line.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 86
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\measurement\position_measurement.js", "JavaScript", 0, 525, 0, 0, 0, 0, 0, 0, 0, 0, 119, 57, 701
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\measurement\widgets.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 27
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\model\Doc.js", "JavaScript", 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35, 436
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\model\change_measurement.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 62
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\model\changes.js", "JavaScript", 0, 267, 0, 0, 0, 0, 0, 0, 0, 0, 31, 42, 340
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\model\chunk.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 22, 15, 168
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\model\document_data.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 112
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\model\history.js", "JavaScript", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 38, 20, 229
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\model\line_widget.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 79
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\model\mark_text.js", "JavaScript", 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 34, 26, 294
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\model\selection.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 85
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\model\selection_updates.js", "JavaScript", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 23, 27, 217
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\modes.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 97
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\util\StringStream.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 91
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\util\bidi.js", "JavaScript", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 57, 20, 216
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\util\browser.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 34
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\util\dom.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 98
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\util\event.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 104
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\util\feature_detection.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 85
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\util\misc.js", "JavaScript", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 19, 20, 169
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\src\util\operation_group.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 73
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\comment_test.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24, 115
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\contenteditable_test.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 111
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\doc_test.js", "JavaScript", 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32, 372
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\driver.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 142
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\emacs_test.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 150
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\html-hint-test.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 84
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\index.html", "HTML", 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 1, 18, 289
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\lint.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\mode_test.css", "CSS", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\mode_test.js", "JavaScript", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 22, 14, 194
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\multi_test.js", "JavaScript", 0, 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 296
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\run.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\scroll_test.js", "JavaScript", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 127
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\search_test.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 92
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\sql-hint-test.js", "JavaScript", 0, 283, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 302
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\sublime_test.js", "JavaScript", 0, 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 296
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\test.js", "JavaScript", 0, 2369, 0, 0, 0, 0, 0, 0, 0, 0, 84, 222, 2675
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\test\vim_test.js", "JavaScript", 0, 4746, 0, 0, 0, 0, 0, 0, 0, 0, 80, 42, 4868
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\3024-day.css", "CSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 9, 9, 42
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\3024-night.css", "CSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 9, 7, 40
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\abcdef.css", "CSS", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\ambiance-mobile.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\ambiance.css", "CSS", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 3, 14, 75
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\ayu-dark.css", "CSS", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 7, 43
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\ayu-mirage.css", "CSS", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 7, 44
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\base16-dark.css", "CSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 9, 6, 39
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\base16-light.css", "CSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 9, 6, 39
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\bespin.css", "CSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 9, 6, 35
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\blackboard.css", "CSS", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 4, 33
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\cobalt.css", "CSS", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\colorforth.css", "CSS", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\darcula.css", "CSS", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 4, 7, 54
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\dracula.css", "CSS", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 8, 4, 41
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\duotone-dark.css", "CSS", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 9, 8, 36
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\duotone-light.css", "CSS", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 10, 9, 37
